Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Date,Date_reference,Date_sort,Date_hierarchy,Area,Area_reference,Area_sort,Area_hierarchy,Register,Register_reference,Register_sort,Register_hierarchy,Notes
"6,839",6839,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Llys Meddyg Surgery,W94016,261,CC105,Patients registered at GP practice,LIST,1,,
708,708,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Llys Meddyg Surgery,W94016,261,CC105,Obesity (patients aged 16+),OB,16,,
"5,788",5788,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Llanberis Surgery,W94017,262,CC102,Patients registered at GP practice,LIST,1,,
367,367,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Llanberis Surgery,W94017,262,CC102,Obesity (patients aged 16+),OB,16,,
"6,299",6299,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Penrhyn Bay Surgery,W94018,263,CC105,Patients registered at GP practice,LIST,1,,
723,723,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Penrhyn Bay Surgery,W94018,263,CC105,Obesity (patients aged 16+),OB,16,,
"11,934",11934,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Craig Y Don Medical Practice,W94019,264,CC105,Patients registered at GP practice,LIST,1,,
"1,014",1014,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Craig Y Don Medical Practice,W94019,264,CC105,Obesity (patients aged 16+),OB,16,,
"2,395",2395,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Lonfa Surgery,W94020,265,CC105,Patients registered at GP practice,LIST,1,,
173,173,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Lonfa Surgery,W94020,265,CC105,Obesity (patients aged 16+),OB,16,,
"7,594",7594,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Eifionydd Health Hub,W94021,266,CC107,Patients registered at GP practice,LIST,1,,
775,775,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Eifionydd Health Hub,W94021,266,CC107,Obesity (patients aged 16+),OB,16,,
"7,107",7107,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Gerafon Surgery,W94023,267,CC101,Patients registered at GP practice,LIST,1,,
561,561,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Gerafon Surgery,W94023,267,CC101,Obesity (patients aged 16+),OB,16,,
"5,604",5604,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Gwydir Surgery,W94024,268,CC105,Patients registered at GP practice,LIST,1,,
665,665,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Gwydir Surgery,W94024,268,CC105,Obesity (patients aged 16+),OB,16,,
"4,370",4370,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Rhydbach Surgery,W94025,269,CC107,Patients registered at GP practice,LIST,1,,
459,459,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Rhydbach Surgery,W94025,269,CC107,Obesity (patients aged 16+),OB,16,,
"9,325",9325,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Cybi Health Hub,W94026,270,CC101,Patients registered at GP practice,LIST,1,,
883,883,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Cybi Health Hub,W94026,270,CC101,Obesity (patients aged 16+),OB,16,,
"6,732",6732,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Felinheli & Porthaethwy Surgery,W94027,271,CC102,Patients registered at GP practice,LIST,1,,
449,449,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Felinheli & Porthaethwy Surgery,W94027,271,CC102,Obesity (patients aged 16+),OB,16,,
"7,368",7368,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Yr Hen Orsaf Medical Centre,W94028,272,CC102,Patients registered at GP practice,LIST,1,,
652,652,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Yr Hen Orsaf Medical Centre,W94028,272,CC102,Obesity (patients aged 16+),OB,16,,
"7,231",7231,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Coed Y Glyn Surgery,W94029,273,CC101,Patients registered at GP practice,LIST,1,,
613,613,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Coed Y Glyn Surgery,W94029,273,CC101,Obesity (patients aged 16+),OB,16,,
"13,375",13375,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Market Street Surgery,W94030,274,CC102,Patients registered at GP practice,LIST,1,,
"1,315",1315,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Market Street Surgery,W94030,274,CC102,Obesity (patients aged 16+),OB,16,,
"6,998",6998,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Bodreinallt,W94031,275,CC105,Patients registered at GP practice,LIST,1,,
687,687,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Bodreinallt,W94031,275,CC105,Obesity (patients aged 16+),OB,16,,
"7,834",7834,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Bron Meirion,W94032,276,CC107,Patients registered at GP practice,LIST,1,,
706,706,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Bron Meirion,W94032,276,CC107,Obesity (patients aged 16+),OB,16,,
"9,966",9966,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Bron Derw Medical Centre,W94034,277,CC102,Patients registered at GP practice,LIST,1,,
790,790,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Bron Derw Medical Centre,W94034,277,CC102,Obesity (patients aged 16+),OB,16,,
"4,582",4582,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Bala Surgery,W94035,278,CC109,Patients registered at GP practice,LIST,1,,
691,691,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Bala Surgery,W94035,278,CC109,Obesity (patients aged 16+),OB,16,,
"4,888",4888,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Caerffynnon,W94036,279,CC109,Patients registered at GP practice,LIST,1,,
696,696,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Caerffynnon,W94036,279,CC109,Obesity (patients aged 16+),OB,16,,
"5,780",5780,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Ty Doctor,W94037,280,CC107,Patients registered at GP practice,LIST,1,,
475,475,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Ty Doctor,W94037,280,CC107,Obesity (patients aged 16+),OB,16,,
"11,153",11153,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Victoria Surgery,W94038,281,CC101,Patients registered at GP practice,LIST,1,,
"1,033",1033,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Victoria Surgery,W94038,281,CC101,Obesity (patients aged 16+),OB,16,,
"5,950",5950,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Liverpool House,W94039,282,CC102,Patients registered at GP practice,LIST,1,,
520,520,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Liverpool House,W94039,282,CC102,Obesity (patients aged 16+),OB,16,,
"2,299",2299,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Gwalchmai Surgery,W94043,284,CC101,Patients registered at GP practice,LIST,1,,
454,454,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Gwalchmai Surgery,W94043,284,CC101,Obesity (patients aged 16+),OB,16,,
"7,167",7167,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Corwen House,W94609,286,CC102,Patients registered at GP practice,LIST,1,,
454,454,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Corwen House,W94609,286,CC102,Obesity (patients aged 16+),OB,16,,
"2,162",2162,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,West Shore Surgery,W94622,288,CC105,Patients registered at GP practice,LIST,1,,
169,169,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,West Shore Surgery,W94622,288,CC105,Obesity (patients aged 16+),OB,16,,
"1,481",1481,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Star Surgery,W94633,289,CC101,Patients registered at GP practice,LIST,1,,
194,194,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Star Surgery,W94633,289,CC101,Obesity (patients aged 16+),OB,16,,
"15,603",15603,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,St Johns Medical Practice,W95001,290,CC501,Patients registered at GP practice,LIST,1,,
"2,450",2450,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,St Johns Medical Practice,W95001,290,CC501,Obesity (patients aged 16+),OB,16,,
"14,037",14037,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Pont Newydd Medical Centre,W95004,291,CC507,Patients registered at GP practice,LIST,1,,
"2,150",2150,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Pont Newydd Medical Centre,W95004,291,CC507,Obesity (patients aged 16+),OB,16,,
"3,553",3553,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Practice 3 Keir Hardie Health Park,W95005,292,CC502,Patients registered at GP practice,LIST,1,,
549,549,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Practice 3 Keir Hardie Health Park,W95005,292,CC502,Obesity (patients aged 16+),OB,16,,
"11,042",11042,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Ty Bryn Surgery,W95008,293,CC605,Patients registered at GP practice,LIST,1,,
"1,365",1365,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Ty Bryn Surgery,W95008,293,CC605,Obesity (patients aged 16+),OB,16,,
"8,190",8190,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Llynfi Surgery,W95009,294,CC510,Patients registered at GP practice,LIST,1,,
"1,325",1325,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Llynfi Surgery,W95009,294,CC510,Obesity (patients aged 16+),OB,16,,
"18,209",18209,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Oak Tree Surgery,W95010,295,CC509,Patients registered at GP practice,LIST,1,,
"1,562",1562,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Oak Tree Surgery,W95010,295,CC509,Obesity (patients aged 16+),OB,16,,
"16,913",16913,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Parc Canol Group Practice,W95011,296,CC508,Patients registered at GP practice,LIST,1,,
"1,066",1066,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Parc Canol Group Practice,W95011,296,CC508,Obesity (patients aged 16+),OB,16,,
"6,892",6892,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Woodlands Surgery,W95012,297,CC510,Patients registered at GP practice,LIST,1,,
885,885,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Woodlands Surgery,W95012,297,CC510,Obesity (patients aged 16+),OB,16,,
"16,243",16243,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Eglwysbach Medical Practice,W95014,299,CC504,Patients registered at GP practice,LIST,1,,
"1,860",1860,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Eglwysbach Medical Practice,W95014,299,CC504,Obesity (patients aged 16+),OB,16,,
"5,151",5151,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Cwmaman Surgery,W95016,300,CC505,Patients registered at GP practice,LIST,1,,
508,508,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Cwmaman Surgery,W95016,300,CC505,Obesity (patients aged 16+),OB,16,,
"8,699",8699,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,The New Surgery ,W95017,301,CC509,Patients registered at GP practice,LIST,1,,
821,821,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,The New Surgery ,W95017,301,CC509,Obesity (patients aged 16+),OB,16,,
"11,743",11743,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Pencoed Medical Centre ,W95018,302,CC509,Patients registered at GP practice,LIST,1,,
762,762,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Pencoed Medical Centre ,W95018,302,CC509,Obesity (patients aged 16+),OB,16,,
"5,919",5919,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Tylorstown Surgery,W95019,303,CC503,Patients registered at GP practice,LIST,1,,
857,857,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Tylorstown Surgery,W95019,303,CC503,Obesity (patients aged 16+),OB,16,,
"6,308",6308,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Hirwaun Medical Centre,W95020,304,CC501,Patients registered at GP practice,LIST,1,,
746,746,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Hirwaun Medical Centre,W95020,304,CC501,Obesity (patients aged 16+),OB,16,,
"8,571",8571,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Practice 1 Keir Hardie Health Park,W95023,305,CC502,Patients registered at GP practice,LIST,1,,
"1,175",1175,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Practice 1 Keir Hardie Health Park,W95023,305,CC502,Obesity (patients aged 16+),OB,16,,
"15,815",15815,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Ashgrove Surgery,W95024,306,CC504,Patients registered at GP practice,LIST,1,,
"2,025",2025,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Ashgrove Surgery,W95024,306,CC504,Obesity (patients aged 16+),OB,16,,
"12,223",12223,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Old School Surgery,W95025,307,CC508,Patients registered at GP practice,LIST,1,,
"1,528",1528,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Old School Surgery,W95025,307,CC508,Obesity (patients aged 16+),OB,16,,
"9,435",9435,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,De Winton Field Practice,W95027,309,CC507,Patients registered at GP practice,LIST,1,,
"1,347",1347,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,De Winton Field Practice,W95027,309,CC507,Obesity (patients aged 16+),OB,16,,
"10,881",10881,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Meddygfa Glan Cynon Surgery,W95029,310,CC505,Patients registered at GP practice,LIST,1,,
"1,586",1586,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Meddygfa Glan Cynon Surgery,W95029,310,CC505,Obesity (patients aged 16+),OB,16,,
"9,322",9322,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,St. David's Street Surgery ,W95030,311,CC503,Patients registered at GP practice,LIST,1,,
"1,308",1308,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,St. David's Street Surgery ,W95030,311,CC503,Obesity (patients aged 16+),OB,16,,
"7,626",7626,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Cwm Garw Practice,W95031,312,CC510,Patients registered at GP practice,LIST,1,,
"1,089",1089,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Cwm Garw Practice,W95031,312,CC510,Obesity (patients aged 16+),OB,16,,
"8,528",8528,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Treharris Primary Care Centre,W95032,313,CC506,Patients registered at GP practice,LIST,1,,
"1,152",1152,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Treharris Primary Care Centre,W95032,313,CC506,Obesity (patients aged 16+),OB,16,,
"10,331",10331,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Cornelly Surgery,W95034,314,CC511,Patients registered at GP practice,LIST,1,,
791,791,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Cornelly Surgery,W95034,314,CC511,Obesity (patients aged 16+),OB,16,,
"19,025",19025,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Riversdale House,W95035,315,CC509,Patients registered at GP practice,LIST,1,,
"2,181",2181,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Riversdale House,W95035,315,CC509,Obesity (patients aged 16+),OB,16,,
"12,297",12297,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Talbot Green Group Practice,W95036,316,CC508,Patients registered at GP practice,LIST,1,,
"1,115",1115,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Talbot Green Group Practice,W95036,316,CC508,Obesity (patients aged 16+),OB,16,,
"10,900",10900,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Tynycoed Surgery,W95037,317,CC510,Patients registered at GP practice,LIST,1,,
"1,265",1265,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Tynycoed Surgery,W95037,317,CC510,Obesity (patients aged 16+),OB,16,,
"3,995",3995,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Penrhiwceiber Medical Centre,W95038,318,CC505,Patients registered at GP practice,LIST,1,,
640,640,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Penrhiwceiber Medical Centre,W95038,318,CC505,Obesity (patients aged 16+),OB,16,,
"15,723",15723,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Porthcawl Medical Centre,W95041,319,CC511,Patients registered at GP practice,LIST,1,,
"1,605",1605,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Porthcawl Medical Centre,W95041,319,CC511,Obesity (patients aged 16+),OB,16,,
"6,575",6575,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Abercynon Medical Centre,W95042,320,CC505,Patients registered at GP practice,LIST,1,,
"1,026",1026,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Abercynon Medical Centre,W95042,320,CC505,Obesity (patients aged 16+),OB,16,,
"5,001",5001,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Nelson Surgery,W95043,321,CC604,Patients registered at GP practice,LIST,1,,
611,611,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Nelson Surgery,W95043,321,CC604,Obesity (patients aged 16+),OB,16,,
"8,459",8459,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Park Lane Surgery,W95044,322,CC507,Patients registered at GP practice,LIST,1,,
"1,071",1071,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Park Lane Surgery,W95044,322,CC507,Obesity (patients aged 16+),OB,16,,
"12,632",12632,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Tonyfelin Medical Centre,W95046,323,CC605,Patients registered at GP practice,LIST,1,,
"1,296",1296,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Tonyfelin Medical Centre,W95046,323,CC605,Obesity (patients aged 16+),OB,16,,
"9,989",9989,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Nantgarw Road Medical Centre,W95049,324,CC605,Patients registered at GP practice,LIST,1,,
"1,205",1205,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Nantgarw Road Medical Centre,W95049,324,CC605,Obesity (patients aged 16+),OB,16,,
"8,079",8079,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Meddygfa Gelligaer Surgery,W95050,325,CC604,Patients registered at GP practice,LIST,1,,
"1,303",1303,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Meddygfa Gelligaer Surgery,W95050,325,CC604,Obesity (patients aged 16+),OB,16,,
"7,564",7564,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Ferndale Medical Centre,W95051,326,CC503,Patients registered at GP practice,LIST,1,,
"1,086",1086,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Ferndale Medical Centre,W95051,326,CC503,Obesity (patients aged 16+),OB,16,,
"16,067",16067,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Forest View Medical Centre,W95054,327,CC503,Patients registered at GP practice,LIST,1,,
"2,017",2017,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Forest View Medical Centre,W95054,327,CC503,Obesity (patients aged 16+),OB,16,,
"4,274",4274,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Penygraig Surgery,W95057,328,CC507,Patients registered at GP practice,LIST,1,,
597,597,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Penygraig Surgery,W95057,328,CC507,Obesity (patients aged 16+),OB,16,,
"16,083",16083,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Taff Vale Practice,W95058,329,CC504,Patients registered at GP practice,LIST,1,,
"2,259",2259,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Taff Vale Practice,W95058,329,CC504,Obesity (patients aged 16+),OB,16,,
"10,627",10627,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Court House Medical Centre,W95059,330,CC605,Patients registered at GP practice,LIST,1,,
903,903,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Court House Medical Centre,W95059,330,CC605,Obesity (patients aged 16+),OB,16,,
"7,117",7117,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Taffs Well Medical Centre,W95060,331,CC508,Patients registered at GP practice,LIST,1,,
642,642,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Taffs Well Medical Centre,W95060,331,CC508,Obesity (patients aged 16+),OB,16,,
"6,708",6708,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,St. Andrews Surgery,W95062,332,CC507,Patients registered at GP practice,LIST,1,,
"1,135",1135,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,St. Andrews Surgery,W95062,332,CC507,Obesity (patients aged 16+),OB,16,,
"8,665",8665,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Heathbridge House,W95063,333,CC511,Patients registered at GP practice,LIST,1,,
769,769,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Heathbridge House,W95063,333,CC511,Obesity (patients aged 16+),OB,16,,
"6,861",6861,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Bron y Garn Surgery,W95064,334,CC510,Patients registered at GP practice,LIST,1,,
"1,114",1114,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Bron y Garn Surgery,W95064,334,CC510,Obesity (patients aged 16+),OB,16,,
"13,297",13297,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Oakfield Surgery,W95065,335,CC604,Patients registered at GP practice,LIST,1,,
"1,777",1777,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Oakfield Surgery,W95065,335,CC604,Obesity (patients aged 16+),OB,16,,
"11,158",11158,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Bryntirion Surgery,W95068,337,CC604,Patients registered at GP practice,LIST,1,,
"1,354",1354,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Bryntirion Surgery,W95068,337,CC604,Obesity (patients aged 16+),OB,16,,
"26,095",26095,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Bridgend Group Practice,W95070,338,CC509,Patients registered at GP practice,LIST,1,,
"1,958",1958,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Bridgend Group Practice,W95070,338,CC509,Obesity (patients aged 16+),OB,16,,
"12,488",12488,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Pontcae Medical Practice,W95072,340,CC506,Patients registered at GP practice,LIST,1,,
857,857,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Pontcae Medical Practice,W95072,340,CC506,Obesity (patients aged 16+),OB,16,,
"3,392",3392,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,The Village Surgery,W95073,341,CC605,Patients registered at GP practice,LIST,1,,
568,568,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,The Village Surgery,W95073,341,CC605,Obesity (patients aged 16+),OB,16,,
"3,214",3214,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,South Street Surgery,W95078,343,CC604,Patients registered at GP practice,LIST,1,,
332,332,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,South Street Surgery,W95078,343,CC604,Obesity (patients aged 16+),OB,16,,
"18,248",18248,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Cwm Rhymni Practice,W95081,345,CC604,Patients registered at GP practice,LIST,1,,
"2,868",2868,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Cwm Rhymni Practice,W95081,345,CC604,Obesity (patients aged 16+),OB,16,,
"25,904",25904,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Morlais Medical Practice,W95086,346,CC502,Patients registered at GP practice,LIST,1,,
"3,909",3909,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Morlais Medical Practice,W95086,346,CC502,Obesity (patients aged 16+),OB,16,,
"4,366",4366,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Abercwmboi Medical Centre,W95087,347,CC505,Patients registered at GP practice,LIST,1,,
561,561,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Abercwmboi Medical Centre,W95087,347,CC505,Obesity (patients aged 16+),OB,16,,
"7,033",7033,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Cwm Gwrydd Medical Centre,W95295,349,CC507,Patients registered at GP practice,LIST,1,,
968,968,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Cwm Gwrydd Medical Centre,W95295,349,CC507,Obesity (patients aged 16+),OB,16,,
"10,205",10205,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Foundry Town Clinic,W95633,351,CC501,Patients registered at GP practice,LIST,1,,
"1,435",1435,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Foundry Town Clinic,W95633,351,CC501,Obesity (patients aged 16+),OB,16,,
"3,246",3246,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Nantymoel Surgery,W95645,352,CC510,Patients registered at GP practice,LIST,1,,
309,309,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Nantymoel Surgery,W95645,352,CC510,Obesity (patients aged 16+),OB,16,,
"2,820",2820,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Practice 2 Keir Hardie Health Park,W95647,353,CC502,Patients registered at GP practice,LIST,1,,
439,439,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Practice 2 Keir Hardie Health Park,W95647,353,CC502,Obesity (patients aged 16+),OB,16,,
"7,897",7897,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Montgomery Medical Practice,W96001,354,CC702,Patients registered at GP practice,LIST,1,,
"1,274",1274,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Montgomery Medical Practice,W96001,354,CC702,Obesity (patients aged 16+),OB,16,,
"12,514",12514,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Pengorof Surgery,W96002,355,CC703,Patients registered at GP practice,LIST,1,,
"2,049",2049,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Pengorof Surgery,W96002,355,CC703,Obesity (patients aged 16+),OB,16,,
"15,554",15554,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Ty Henry Vaughan,W96003,356,CC703,Patients registered at GP practice,LIST,1,,
"1,443",1443,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Ty Henry Vaughan,W96003,356,CC703,Obesity (patients aged 16+),OB,16,,
"4,872",4872,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Wylcwm Street Surgery,W96004,357,CC701,Patients registered at GP practice,LIST,1,,
630,630,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Wylcwm Street Surgery,W96004,357,CC701,Obesity (patients aged 16+),OB,16,,
"9,092",9092,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Arwystli Medical Practice,W96005,358,CC702,Patients registered at GP practice,LIST,1,,
824,824,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Arwystli Medical Practice,W96005,358,CC702,Obesity (patients aged 16+),OB,16,,
"3,362",3362,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Rhayader Group Practice,W96006,359,CC701,Patients registered at GP practice,LIST,1,,
348,348,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Rhayader Group Practice,W96006,359,CC701,Obesity (patients aged 16+),OB,16,,
"7,675",7675,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Builth Wells Medical Practice,W96007,360,CC701,Patients registered at GP practice,LIST,1,,
778,778,Number on register,1,1,,01/10/2023,20231001,1.6962E+12,,Builth Wells Medical Practice,W96007,360,CC701,Obesity (patients aged 16+),OB,16,,
